id,prompt_example,prompt_qual,task_description,complexity,bad_prompt,good_prompt,expected_answer,prompting_techniques,prompt_type,notes,flesch_reading_ease,flesch_kincaid_grade,gunning_fog,smog_index,automated_readability_index,coleman_liau_index,linsear_write_formula,dale_chall_score,spache_readability
1,Tell me a story about neural prosthetics.,bad,Develop a creative narrative about neural prosthetics,high,,"Imagine you are a science fiction author renowned for your detailed and emotionally resonant narratives. Craft a story set 50 years in the future where neural prosthetics are commonplace. 

First, brainstorm three distinct scenarios involving neural prosthetics and their impact on society. Consider both positive and negative consequences. For each scenario, outline the key characters, the central conflict, and the resolution.

Second, select the most compelling scenario and develop it into a short story of approximately 500 words. Focus on the human element – how these technologies affect relationships, identity, and the very definition of what it means to be human. Consider the ethical implications of widespread neural augmentation. Include vivid descriptions of the technology and its effects on the characters' senses and emotions. 

Finally, ensure the story has a clear beginning, rising action, climax, and resolution. The tone should be thought-provoking and engaging, leaving the reader with a sense of wonder and perhaps a touch of unease.","The ideal output would be a well-structured and imaginative short story about neural prosthetics. It should demonstrate a clear understanding of the technology and its potential impact on society. The story should feature compelling characters, a well-defined plot, and a thought-provoking exploration of the ethical and philosophical implications of neural augmentation. The writing style should be vivid and engaging, capturing the reader's imagination and leaving a lasting impression. The story should successfully integrate the brainstorming and outlining steps, resulting in a cohesive and impactful narrative.","['ROLE_PROMPTING', 'TREE_OF_THOUGHTS']",CREATIVE_WRITING,,55.91,7.2,8.51,0.0,5.6,8.24,3.5,8.5,4.28
2,"Imagine you are a science fiction author renowned for your detailed and emotionally resonant narratives. Craft a story set 50 years in the future where neural prosthetics are commonplace. 

First, brainstorm three distinct scenarios involving neural prosthetics and their impact on society. Consider both positive and negative consequences. For each scenario, outline the key characters, the central conflict, and the resolution.

Second, select the most compelling scenario and develop it into a short story of approximately 500 words. Focus on the human element – how these technologies affect relationships, identity, and the very definition of what it means to be human. Consider the ethical implications of widespread neural augmentation. Include vivid descriptions of the technology and its effects on the characters' senses and emotions. 

Finally, ensure the story has a clear beginning, rising action, climax, and resolution. The tone should be thought-provoking and engaging, leaving the reader with a sense of wonder and perhaps a touch of unease.",good,Develop a creative narrative about neural prosthetics,high,Tell me a story about neural prosthetics.,,"The ideal output would be a well-structured and imaginative short story about neural prosthetics. It should demonstrate a clear understanding of the technology and its potential impact on society. The story should feature compelling characters, a well-defined plot, and a thought-provoking exploration of the ethical and philosophical implications of neural augmentation. The writing style should be vivid and engaging, capturing the reader's imagination and leaving a lasting impression. The story should successfully integrate the brainstorming and outlining steps, resulting in a cohesive and impactful narrative.","['ROLE_PROMPTING', 'TREE_OF_THOUGHTS']",CREATIVE_WRITING,,31.58,12.4,14.13,13.9,12.6,14.26,10.857142857142858,10.48,5.92
3,Tell me about photography techniques.,bad,Decode the logic behind this photography techniques algorithm,medium,,"You are an expert photography tutor. I want to understand the logic behind a photography techniques algorithm. Please provide a Python function that takes a description of a photographic scene as input (e.g., 'portrait in low light') and outputs a list of recommended photography techniques (e.g., ['use a wide aperture', 'increase ISO', 'use a reflector']). The function should include comments explaining the reasoning behind each recommendation. Also, provide a sample usage of the function with the input 'landscape at sunset'.","The ideal output would be a Python function that encapsulates the logic for recommending photography techniques based on scene descriptions. The function should include detailed comments explaining the reasoning behind each recommendation. The sample usage should demonstrate how to use the function and provide a relevant output for the 'landscape at sunset' scenario. The response should be well-structured and easy to understand, demonstrating a clear understanding of photography techniques and how they apply to different scenarios.",['CODE_PROMPTING'],CODE_EXPLANATION,,32.56,10.0,10.0,0.0,12.2,15.4,2.5,10.2,4.98
4,"You are an expert photography tutor. I want to understand the logic behind a photography techniques algorithm. Please provide a Python function that takes a description of a photographic scene as input (e.g., 'portrait in low light') and outputs a list of recommended photography techniques (e.g., ['use a wide aperture', 'increase ISO', 'use a reflector']). The function should include comments explaining the reasoning behind each recommendation. Also, provide a sample usage of the function with the input 'landscape at sunset'.",good,Decode the logic behind this photography techniques algorithm,medium,Tell me about photography techniques.,,"The ideal output would be a Python function that encapsulates the logic for recommending photography techniques based on scene descriptions. The function should include detailed comments explaining the reasoning behind each recommendation. The sample usage should demonstrate how to use the function and provide a relevant output for the 'landscape at sunset' scenario. The response should be well-structured and easy to understand, demonstrating a clear understanding of photography techniques and how they apply to different scenarios.",['CODE_PROMPTING'],CODE_EXPLANATION,,51.44,8.9,9.56,10.9,10.9,12.16,6.571428571428571,10.91,5.35
5,Tell me about neural prosthetics.,bad,Chat about recent developments in neural prosthetics,high,,"You are a leading neuroscientist specializing in neural prosthetics. Please provide a detailed overview of the most recent advancements in the field, focusing on both invasive and non-invasive techniques. Include specific examples of successful applications, ongoing clinical trials, and remaining challenges. Use chain-of-thought reasoning to explain the underlying principles and potential future directions of this technology. Consider advancements in decoding algorithms, biocompatible materials, and closed-loop systems.","The ideal answer would begin with a brief definition of neural prosthetics and their purpose. It would then delve into recent advancements, categorizing them by invasive (e.g., brain-computer interfaces for motor control, visual prostheses) and non-invasive techniques (e.g., EEG-based control systems, transcranial magnetic stimulation). For each category, the response should provide specific examples of successful applications (e.g., restoring movement to paralyzed individuals, enabling communication for locked-in patients), discuss ongoing clinical trials (e.g., advancements in high-density electrode arrays, long-term stability studies), and outline remaining challenges (e.g., improving decoding accuracy, addressing biocompatibility issues, reducing the need for frequent recalibration). The response should also discuss advancements in decoding algorithms (e.g., deep learning approaches for improved signal processing), biocompatible materials (e.g., flexible electrodes, coatings to reduce inflammation), and closed-loop systems (e.g., adaptive control algorithms that adjust stimulation parameters based on user feedback). Finally, the response should offer a perspective on the potential future directions of neural prosthetics, such as personalized prostheses, enhanced sensory feedback, and integration with artificial intelligence.","['ROLE_PROMPTING', 'CHAIN_OF_THOUGHT']",CONVERSATIONAL,,49.48,7.6,10.0,0.0,8.4,10.76,2.5,10.2,4.98
6,"You are a leading neuroscientist specializing in neural prosthetics. Please provide a detailed overview of the most recent advancements in the field, focusing on both invasive and non-invasive techniques. Include specific examples of successful applications, ongoing clinical trials, and remaining challenges. Use chain-of-thought reasoning to explain the underlying principles and potential future directions of this technology. Consider advancements in decoding algorithms, biocompatible materials, and closed-loop systems.",good,Chat about recent developments in neural prosthetics,high,Tell me about neural prosthetics.,,"The ideal answer would begin with a brief definition of neural prosthetics and their purpose. It would then delve into recent advancements, categorizing them by invasive (e.g., brain-computer interfaces for motor control, visual prostheses) and non-invasive techniques (e.g., EEG-based control systems, transcranial magnetic stimulation). For each category, the response should provide specific examples of successful applications (e.g., restoring movement to paralyzed individuals, enabling communication for locked-in patients), discuss ongoing clinical trials (e.g., advancements in high-density electrode arrays, long-term stability studies), and outline remaining challenges (e.g., improving decoding accuracy, addressing biocompatibility issues, reducing the need for frequent recalibration). The response should also discuss advancements in decoding algorithms (e.g., deep learning approaches for improved signal processing), biocompatible materials (e.g., flexible electrodes, coatings to reduce inflammation), and closed-loop systems (e.g., adaptive control algorithms that adjust stimulation parameters based on user feedback). Finally, the response should offer a perspective on the potential future directions of neural prosthetics, such as personalized prostheses, enhanced sensory feedback, and integration with artificial intelligence.","['ROLE_PROMPTING', 'CHAIN_OF_THOUGHT']",CONVERSATIONAL,,7.32,15.5,21.04,16.9,18.0,21.04,12.4,13.38,7.39
7,Tell me about emotions.,bad,Distinguish between various basic emotions techniques,low,,"I want to understand the basic human emotions. First, define what an emotion is. Then, list and briefly describe at least six basic emotions that humans experience. Finally, explain how these emotions might influence a person's behavior.","An ideal answer would first define emotion, then list six or more basic emotions (e.g., happiness, sadness, anger, fear, surprise, disgust), provide a brief description of each, and then explain how these emotions can influence behavior by affecting decision-making, social interactions, and overall well-being.","['CHAIN_OF_THOUGHT', 'CONTEXTUAL_PROMPTING']",COMPARISON,,50.5,7.2,11.6,0.0,4.1,4.35,2.0,7.78,3.55
8,"I want to understand the basic human emotions. First, define what an emotion is. Then, list and briefly describe at least six basic emotions that humans experience. Finally, explain how these emotions might influence a person's behavior.",good,Distinguish between various basic emotions techniques,low,Tell me about emotions.,,"An ideal answer would first define emotion, then list six or more basic emotions (e.g., happiness, sadness, anger, fear, surprise, disgust), provide a brief description of each, and then explain how these emotions can influence behavior by affecting decision-making, social interactions, and overall well-being.","['CHAIN_OF_THOUGHT', 'CONTEXTUAL_PROMPTING']",COMPARISON,,45.12,9.3,9.13,11.7,8.8,11.22,5.875,8.79,4.7
9,Explain the concept of competitive exclusion in ecology.,bad,Code a solution for theoretical ecology,high,,"Here are examples of competitive exclusion. Example 1: Two paramecium species, *P. aurelia* and *P. caudatum*, are grown separately and both thrive. When grown together, *P. aurelia* outcompetes *P. caudatum*, leading to the local extinction of *P. caudatum*. Example 2: Two plant species compete for sunlight in a forest. The taller species eventually shades out the shorter species, leading to a reduction in the shorter species' population. Now, explain the principle of competitive exclusion in ecology, including the conditions under which it occurs, and provide a novel example not mentioned above. Your explanation should include the Lotka-Volterra competition equations and how they relate to the outcome.","The principle of competitive exclusion states that two species competing for the same limiting resource cannot coexist at constant population values. One species will inevitably outcompete the other, leading to the exclusion (local extinction) of the inferior competitor. This occurs when the niche overlap between the two species is too great, and the resource in question is truly limiting. The Lotka-Volterra competition equations model this interaction:

dN1/dt = r1N1(K1 - N1 - α12N2)/K1
dN2/dt = r2N2(K2 - N2 - α21N1)/K2

Where:
*   N1 and N2 are the population sizes of species 1 and 2, respectively.
*   r1 and r2 are the intrinsic rates of increase for species 1 and 2, respectively.
*   K1 and K2 are the carrying capacities of species 1 and 2, respectively.
*   α12 is the competition coefficient representing the effect of species 2 on species 1.
*   α21 is the competition coefficient representing the effect of species 1 on species 2.

Coexistence is possible only when intraspecific competition is stronger than interspecific competition (i.e., each species is more limited by members of its own species than by members of the other species). If α12 > K1/K2 and α21 > K2/K1, competitive exclusion will occur. A novel example is the competition between two species of barnacles, *Balanus balanoides* and *Chthamalus stellatus*, in the rocky intertidal zone. *Balanus* is a stronger competitor and can outcompete *Chthamalus* for space when both are present. *Chthamalus* can only survive in the upper intertidal zone where *Balanus* cannot tolerate the desiccation stress.",['ONE_SHOT_FEW_SHOT'],PROGRAMMING_CODE_GENERATION,,4.14,14.7,18.2,0.0,11.4,15.15,6.0,11.93,6.27
10,"Here are examples of competitive exclusion. Example 1: Two paramecium species, *P. aurelia* and *P. caudatum*, are grown separately and both thrive. When grown together, *P. aurelia* outcompetes *P. caudatum*, leading to the local extinction of *P. caudatum*. Example 2: Two plant species compete for sunlight in a forest. The taller species eventually shades out the shorter species, leading to a reduction in the shorter species' population. Now, explain the principle of competitive exclusion in ecology, including the conditions under which it occurs, and provide a novel example not mentioned above. Your explanation should include the Lotka-Volterra competition equations and how they relate to the outcome.",good,Code a solution for theoretical ecology,high,Explain the concept of competitive exclusion in ecology.,,"The principle of competitive exclusion states that two species competing for the same limiting resource cannot coexist at constant population values. One species will inevitably outcompete the other, leading to the exclusion (local extinction) of the inferior competitor. This occurs when the niche overlap between the two species is too great, and the resource in question is truly limiting. The Lotka-Volterra competition equations model this interaction:

dN1/dt = r1N1(K1 - N1 - α12N2)/K1
dN2/dt = r2N2(K2 - N2 - α21N1)/K2

Where:
*   N1 and N2 are the population sizes of species 1 and 2, respectively.
*   r1 and r2 are the intrinsic rates of increase for species 1 and 2, respectively.
*   K1 and K2 are the carrying capacities of species 1 and 2, respectively.
*   α12 is the competition coefficient representing the effect of species 2 on species 1.
*   α21 is the competition coefficient representing the effect of species 1 on species 2.

Coexistence is possible only when intraspecific competition is stronger than interspecific competition (i.e., each species is more limited by members of its own species than by members of the other species). If α12 > K1/K2 and α21 > K2/K1, competitive exclusion will occur. A novel example is the competition between two species of barnacles, *Balanus balanoides* and *Chthamalus stellatus*, in the rocky intertidal zone. *Balanus* is a stronger competitor and can outcompete *Chthamalus* for space when both are present. *Chthamalus* can only survive in the upper intertidal zone where *Balanus* cannot tolerate the desiccation stress.",['ONE_SHOT_FEW_SHOT'],PROGRAMMING_CODE_GENERATION,,36.35,10.6,11.39,12.4,10.4,12.68,6.181818181818182,10.37,5.12
